Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
qtrimmed_MRF_V2_1_1_S41_L008	51083310	0	51083310	0	25541655	25541655	1115191	1028962	49968119	910256	51083310	0	76346	0	0	7649529312	3828579090	3820950222	167003157	167003157	0	0	2910687	0.01742893	149	150	150	150	150	150	38.1	386.9	79.6	508494	227	17	5743	1.8	2.183082889	2.01428216	97.81691711	1.781904892	100	0	0.149453902	0
qtrimmed_MRF_V2_1_2_S43_L008	49252430	0	49252430	0	24626215	24626215	1117451	1029924	48134979	813634	49252430	0	72472	0	0	7372411108	3690910924	3681500184	167280880	167280880	0	0	2944869	0.01760434	149	150	149	150	150	150	37.8	416.4	86.8	507784	224	22	6932	1.7	2.268824097	2.091113068	97.7311759	1.651967223	100	0	0.147144009	0
qtrimmed_MRF_V2_1_3_S31_L008	46923980	0	46923980	0	23461990	23461990	1200696	1120088	45723284	1008630	46923980	0	70384	0	0	7027303937	3516856697	3510447240	179813954	179813954	0	0	2885059	0.01604469	149	150	150	150	150	150	38.3	381.6	77.1	553707	234	27	6076	2.1	2.558811081	2.387026846	97.44118892	2.149497975	100	0	0.149995802	0
qtrimmed_MRF_V2_2_1_S33_L008	41791144	0	41791144	0	20895572	20895572	884112	821956	40907032	754128	41791144	0	55791	0	0	6259116564	3132013206	3127103358	132415061	132415061	0	0	2207512	0.01667115	149	150	150	150	150	150	38.4	374.4	76.9	406662	345	13	3958	1.8	2.115548691	1.966818616	97.88445131	1.804516287	100	0	0.133499576	0
qtrimmed_MRF_V2_2_3_S35_L008	48513572	0	48513572	0	24256786	24256786	1079944	1000066	47433628	875010	48513572	0	67712	0	0	7265122266	3635958455	3629163811	161736679	161736679	0	0	2721093	0.01682422	149	150	150	150	150	150	38.2	391	80.8	494090	215	24	5704	1.8	2.226065729	2.061414896	97.77393427	1.803639608	100	0	0.139573314	0
qtrimmed_MRF_V2_3_3_S36_L008	53055562	0	53055562	0	26527781	26527781	1129882	1045972	51925680	930992	53055562	0	74773	0	0	7945375928	3976361595	3969014333	169207773	169207773	0	0	2914462	0.01722416	149	150	150	150	150	150	38.3	386	78.9	517102	275	15	5594	1.8	2.129620265	1.97146531	97.87037974	1.754749106	100	0	0.140933386	0
qtrimmed_MRF_V5_1_1_S38_L008	55810206	0	55810206	0	27905103	27905103	1317495	1225410	54492711	1071730	55810206	0	78478	0	0	8357060531	4182828157	4174232374	197294795	197294795	0	0	3188684	0.01616203	149	150	150	150	150	150	38.2	390.5	80.5	605688	343	16	6658	1.9	2.360670376	2.195673673	97.63932962	1.920311851	100	0	0.140615858	0
qtrimmed_MRF_V5_1_2_S40_L008	54112708	0	54112708	0	27056354	27056354	1407423	1316896	52705285	1190436	54112708	0	80104	0	0	8104074647	4055564630	4048510017	210781415	210781415	0	0	3378056	0.01602635	149	150	150	150	150	150	38.3	379.9	77.7	651446	445	20	6537	2.2	2.600910307	2.433616887	97.39908969	2.199919472	100	0	0.148031771	0
qtrimmed_MRF_V5_2_2_S42_L008	58201844	0	58201844	0	29100922	29100922	1179052	1093516	57022792	955604	58201844	0	74495	0	0	8716177048	4362100850	4354076198	176573410	176573410	0	0	2929379	0.01659015	149	150	150	150	150	150	38.3	391.7	80.5	540751	276	27	5704	1.6	2.025798358	1.878833942	97.97420164	1.64187925	100	0	0.127994226	0
qtrimmed_MRF_V5_2_3_S30_L008	55467668	0	55467668	0	27733834	27733834	1345845	1248334	54121823	1061206	55467668	0	80770	0	0	8304552269	4156620784	4147931485	201510577	201510577	0	0	3440052	0.01707132	149	150	150	150	150	150	37.9	401.2	81.4	616753	151	26	7237	1.9	2.426359442	2.250561534	97.57364056	1.913197432	100	0	0.145616362	0
