locus_tag	ftype	length_bp	gene	EC_number	COG	product
metabat2500.049_00001	gene	711	lolD			
metabat2500.049_00001	CDS	711	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
metabat2500.049_00002	gene	1254	lolC			
metabat2500.049_00002	CDS	1254	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
metabat2500.049_00003	gene	954				
metabat2500.049_00003	CDS	954				hypothetical protein
metabat2500.049_00004	gene	1725	recJ			
metabat2500.049_00004	CDS	1725	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
metabat2500.049_00005	gene	225				
metabat2500.049_00005	CDS	225		5.3.2.-	COG1942	putative tautomerase
metabat2500.049_00006	gene	873	tyrC			
metabat2500.049_00006	CDS	873	tyrC	1.3.1.43		Cyclohexadienyl dehydrogenase
metabat2500.049_00007	gene	1098	pheA			
metabat2500.049_00007	CDS	1098	pheA			Bifunctional chorismate mutase/prephenate dehydratase
metabat2500.049_00008	gene	1110	serC			
metabat2500.049_00008	CDS	1110	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
metabat2500.049_00009	gene	1518	gyrA			
metabat2500.049_00009	CDS	1518	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
metabat2500.049_00010	gene	1266	czcA_1			
metabat2500.049_00010	CDS	1266	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
metabat2500.049_00011	gene	555	mdtC_1			
metabat2500.049_00011	CDS	555	mdtC_1			Multidrug resistance protein MdtC
metabat2500.049_00012	gene	714	pcm_1			
metabat2500.049_00012	CDS	714	pcm_1	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
metabat2500.049_00013	gene	354				
metabat2500.049_00013	CDS	354		2.8.1.-	COG0607	Sulfurtransferase
metabat2500.049_00014	gene	1335	tolC			
metabat2500.049_00014	CDS	1335	tolC		COG1538	Outer membrane protein TolC
metabat2500.049_00015	gene	1374	waaA			
metabat2500.049_00015	CDS	1374	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
metabat2500.049_00016	gene	780	nadE_1			
metabat2500.049_00016	CDS	780	nadE_1	6.3.5.1		Glutamine-dependent NAD(+) synthetase
metabat2500.049_00017	gene	1389	algC			
metabat2500.049_00017	CDS	1389	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
metabat2500.049_00018	gene	1614	alkA			
