locus_tag	ftype	length_bp	gene	EC_number	COG	product
concoct.235_00001	gene	2133	smc_1			
concoct.235_00001	CDS	2133	smc_1		COG1196	Chromosome partition protein Smc
concoct.235_00002	gene	333				
concoct.235_00002	CDS	333				hypothetical protein
concoct.235_00003	gene	222				
concoct.235_00003	CDS	222				hypothetical protein
concoct.235_00004	gene	438				
concoct.235_00004	CDS	438				hypothetical protein
concoct.235_00005	gene	231				
concoct.235_00005	CDS	231				hypothetical protein
concoct.235_00006	gene	315				
concoct.235_00006	CDS	315				hypothetical protein
concoct.235_00007	gene	147				
concoct.235_00007	CDS	147				hypothetical protein
concoct.235_00008	gene	1149	astA			
concoct.235_00008	CDS	1149	astA	2.3.1.109		Arginine N-succinyltransferase
concoct.235_00009	gene	1170				
concoct.235_00009	CDS	1170				hypothetical protein
concoct.235_00010	gene	222				
concoct.235_00010	CDS	222				hypothetical protein
concoct.235_00011	gene	315				
concoct.235_00011	CDS	315				hypothetical protein
concoct.235_00012	gene	540	ruvA			
concoct.235_00012	CDS	540	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
concoct.235_00013	gene	1104				
concoct.235_00013	CDS	1104				hypothetical protein
concoct.235_00014	gene	396	nudG_1			
concoct.235_00014	CDS	396	nudG_1	3.6.1.65	COG0494	CTP pyrophosphohydrolase
concoct.235_00015	gene	180				
concoct.235_00015	CDS	180				hypothetical protein
concoct.235_00016	gene	1464				
concoct.235_00016	CDS	1464				hypothetical protein
concoct.235_00017	gene	1029				
concoct.235_00017	CDS	1029				hypothetical protein
concoct.235_00018	gene	939	phzF_1			
concoct.235_00018	CDS	939	phzF_1	5.3.3.17		Trans-2,3-dihydro-3-hydroxyanthranilate isomerase
concoct.235_00019	gene	3111	tolB_1			
concoct.235_00019	CDS	3111	tolB_1			Tol-Pal system protein TolB
concoct.235_00020	gene	1899	aspS			
concoct.235_00020	CDS	1899	aspS	6.1.1.12		Aspartate--tRNA ligase
concoct.235_00021	gene	1056				
concoct.235_00021	CDS	1056				hypothetical protein
concoct.235_00022	gene	177				
concoct.235_00022	CDS	177				hypothetical protein
concoct.235_00023	gene	1218				
concoct.235_00023	CDS	1218				hypothetical protein
concoct.235_00024	gene	1386	pepA			
concoct.235_00024	CDS	1386	pepA	3.4.11.10		cytosol aminopeptidase
concoct.235_00025	gene	789				
concoct.235_00025	CDS	789				hypothetical protein
concoct.235_00026	gene	1296	ampG_1			
concoct.235_00026	CDS	1296	ampG_1		COG0477	Anhydromuropeptide permease
concoct.235_00027	gene	525				
concoct.235_00027	CDS	525				hypothetical protein
concoct.235_00028	gene	849	rbn			
concoct.235_00028	CDS	849	rbn	3.1.26.11		Ribonuclease BN
concoct.235_00029	gene	723	dapb2			
concoct.235_00029	CDS	723	dapb2	3.4.14.-		Dipeptidyl aminopeptidase BII
concoct.235_00030	gene	246				
concoct.235_00030	CDS	246				hypothetical protein
concoct.235_00031	gene	774	hyi			
concoct.235_00031	CDS	774	hyi	5.3.1.22	COG3622	Hydroxypyruvate isomerase
concoct.235_00032	gene	879				
concoct.235_00032	CDS	879				hypothetical protein
concoct.235_00033	gene	231				
concoct.235_00033	CDS	231				hypothetical protein
concoct.235_00034	gene	1401				
concoct.235_00034	CDS	1401				hypothetical protein
concoct.235_00035	gene	1176	pepQ			
concoct.235_00035	CDS	1176	pepQ	3.4.13.9		Xaa-Pro dipeptidase
concoct.235_00036	gene	252				
concoct.235_00036	CDS	252				hypothetical protein
concoct.235_00037	gene	870	COQ5_1			
concoct.235_00037	CDS	870	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
concoct.235_00038	gene	2352				
concoct.235_00038	CDS	2352				hypothetical protein
concoct.235_00039	gene	429				
concoct.235_00039	CDS	429				hypothetical protein
concoct.235_00040	gene	213				
concoct.235_00040	CDS	213				hypothetical protein
concoct.235_00041	gene	1032	btuD_1			
concoct.235_00041	CDS	1032	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
concoct.235_00042	gene	801				
concoct.235_00042	CDS	801				hypothetical protein
concoct.235_00043	gene	786				
concoct.235_00043	CDS	786				hypothetical protein
concoct.235_00044	gene	1053	yjmD			
concoct.235_00044	CDS	1053	yjmD	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YjmD
concoct.235_00045	gene	885	menH_1			
concoct.235_00045	CDS	885	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
concoct.235_00046	gene	603				
concoct.235_00046	CDS	603				hypothetical protein
concoct.235_00047	gene	330	xseB			
concoct.235_00047	CDS	330	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
concoct.235_00048	gene	744	cinA			
concoct.235_00048	CDS	744	cinA			Putative competence-damage inducible protein
concoct.235_00049	gene	792				
concoct.235_00049	CDS	792				hypothetical protein
concoct.235_00050	gene	1785	pal_1			
concoct.235_00050	CDS	1785	pal_1			Peptidoglycan-associated lipoprotein
concoct.235_00051	gene	255				
concoct.235_00051	CDS	255				hypothetical protein
concoct.235_00052	gene	177				
concoct.235_00052	CDS	177				hypothetical protein
concoct.235_00053	gene	1032				
concoct.235_00053	CDS	1032				hypothetical protein
concoct.235_00054	gene	855				
concoct.235_00054	CDS	855				hypothetical protein
concoct.235_00055	gene	1128	rpoH_1			
concoct.235_00055	CDS	1128	rpoH_1			RNA polymerase sigma factor RpoH
concoct.235_00056	gene	321				
concoct.235_00056	CDS	321				hypothetical protein
concoct.235_00057	gene	660	sdhC			
concoct.235_00057	CDS	660	sdhC		COG2009	Succinate dehydrogenase cytochrome b558 subunit
concoct.235_00058	gene	1656				
concoct.235_00058	CDS	1656				hypothetical protein
concoct.235_00059	gene	1038	purU			
concoct.235_00059	CDS	1038	purU	3.5.1.10		Formyltetrahydrofolate deformylase
concoct.235_00060	gene	3015	rcsC_1			
concoct.235_00060	CDS	3015	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
concoct.235_00061	gene	735				
concoct.235_00061	CDS	735				hypothetical protein
concoct.235_00062	gene	1434				
concoct.235_00062	CDS	1434				hypothetical protein
concoct.235_00063	gene	261				
concoct.235_00063	CDS	261				hypothetical protein
concoct.235_00064	gene	1359				
concoct.235_00064	CDS	1359				hypothetical protein
concoct.235_00065	gene	1056	cckA_1			
concoct.235_00065	CDS	1056	cckA_1			Sensor kinase CckA
concoct.235_00066	gene	699				
concoct.235_00066	CDS	699				hypothetical protein
concoct.235_00067	gene	420	hit			
concoct.235_00067	CDS	420	hit		COG0537	Protein hit
concoct.235_00068	gene	951				
concoct.235_00068	CDS	951				hypothetical protein
concoct.235_00069	gene	357				
concoct.235_00069	CDS	357				hypothetical protein
concoct.235_00070	gene	528				
concoct.235_00070	CDS	528				hypothetical protein
concoct.235_00071	gene	399				
concoct.235_00071	CDS	399				hypothetical protein
concoct.235_00072	gene	1374				
concoct.235_00072	CDS	1374				hypothetical protein
concoct.235_00073	gene	1374				
concoct.235_00073	CDS	1374				hypothetical protein
concoct.235_00074	gene	753				
concoct.235_00074	CDS	753				hypothetical protein
concoct.235_00075	gene	456				
concoct.235_00075	CDS	456				hypothetical protein
concoct.235_00076	gene	600				
concoct.235_00076	CDS	600				hypothetical protein
concoct.235_00077	gene	2142				
concoct.235_00077	CDS	2142				hypothetical protein
concoct.235_00078	gene	747				
concoct.235_00078	CDS	747				hypothetical protein
concoct.235_00079	gene	1680				
concoct.235_00079	CDS	1680				hypothetical protein
concoct.235_00080	gene	1266				
concoct.235_00080	CDS	1266				hypothetical protein
concoct.235_00081	gene	609				
concoct.235_00081	CDS	609				hypothetical protein
concoct.235_00082	gene	582				
concoct.235_00082	CDS	582				hypothetical protein
concoct.235_00083	gene	261				
concoct.235_00083	CDS	261				hypothetical protein
concoct.235_00084	gene	381				
concoct.235_00084	CDS	381				hypothetical protein
concoct.235_00085	gene	90				
concoct.235_00085	CDS	90				hypothetical protein
concoct.235_00086	gene	687				
concoct.235_00086	CDS	687				hypothetical protein
concoct.235_00087	gene	456				
concoct.235_00087	CDS	456				hypothetical protein
concoct.235_00088	gene	1476	rapA_1			
concoct.235_00088	CDS	1476	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
concoct.235_00089	gene	1050				
concoct.235_00089	CDS	1050				hypothetical protein
concoct.235_00090	gene	579				
concoct.235_00090	CDS	579				Potassium channel
concoct.235_00091	gene	831	ais			
concoct.235_00091	CDS	831	ais	5.3.3.7		Aconitate isomerase
concoct.235_00092	gene	513				
concoct.235_00092	CDS	513				hypothetical protein
concoct.235_00093	gene	1182				
concoct.235_00093	CDS	1182		3.5.1.15		aspartoacylase
concoct.235_00094	gene	369				
concoct.235_00094	CDS	369				hypothetical protein
concoct.235_00095	gene	990	sasA_1			
concoct.235_00095	CDS	990	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
concoct.235_00096	gene	1041	cheB_1			
concoct.235_00096	CDS	1041	cheB_1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
concoct.235_00097	gene	792	cheR1			
concoct.235_00097	CDS	792	cheR1	2.1.1.80		Chemotaxis protein methyltransferase 1
concoct.235_00098	gene	1182				
concoct.235_00098	CDS	1182				hypothetical protein
concoct.235_00099	gene	366				
concoct.235_00099	CDS	366				hypothetical protein
concoct.235_00100	gene	651				
concoct.235_00100	CDS	651				hypothetical protein
concoct.235_00101	gene	495				
concoct.235_00101	CDS	495		1.5.1.37		Flavin reductase
concoct.235_00102	gene	510				
concoct.235_00102	CDS	510				hypothetical protein
concoct.235_00103	gene	450				
concoct.235_00103	CDS	450				hypothetical protein
concoct.235_00104	gene	738				
concoct.235_00104	CDS	738				hypothetical protein
concoct.235_00105	gene	261				
concoct.235_00105	CDS	261				hypothetical protein
concoct.235_00106	gene	342				
concoct.235_00106	CDS	342				hypothetical protein
concoct.235_00107	gene	816				
concoct.235_00107	CDS	816				hypothetical protein
concoct.235_00108	gene	900	xerD_1			
concoct.235_00108	CDS	900	xerD_1			Tyrosine recombinase XerD
concoct.235_00109	gene	768	trpC			
